smiles,jnk3_score
CS(=O)(=O)c1ccc(-c2ccc3c(c2)C[C@H](CNC(=O)c2ccc(F)cc2F)O3)cc1,0.13
CC(C)[NH+]1CCc2c(sc(NC(=O)c3ccc(Cl)cc3Cl)c2C#N)C1,0.13
Cc1oc(-c2cccs2)nc1C(=O)NCCc1cc(F)cc2c1OCOC2,0.13
C[C@H](N[C@@H]1CCN(C2CCCCC2)C1=O)c1cccc([N+](=O)[O-])c1,0.13
COc1cc(NC(=O)/C=C/c2cccc([N+](=O)[O-])c2)c(C(=O)[O-])cc1OC,0.12
O=[N+]([O-])c1ccc(/N=C/c2ccccc2OCc2ccccc2)c(O)c1,0.12
Cc1noc(-c2cnc(NCCCN3CCOCC3)nc2-c2ccco2)c1C,0.12
CC(C)CNC(=O)/C=C/c1cccc([N+](=O)[O-])c1,0.12
[NH3+]C[C@H]1CCCC[C@H]1Nc1nc2ccc([N+](=O)[O-])cc2o1,0.12
COc1ccc(Nc2nc(N3C[C@@H](C)O[C@H](C)C3)nc(N)c2[N+](=O)[O-])cc1,0.12
COc1cc(Br)cc(/C=N/Nc2ccc([N+](=O)[O-])cn2)c1O,0.12
O=C(/C=C/c1ccc([N+](=O)[O-])cc1)NCC1CCN(C(=O)c2ccoc2)CC1,0.12
O=C(c1cccc([N+](=O)[O-])c1)c1ccc2c(c1)C(=O)N(c1ccncc1)C2=O,0.12
O=C(Nc1cccnc1)N[C@@H](CO)c1ccc(Cl)c(F)c1,0.11
Cc1csc(Sc2ccc([N+](=O)[O-])cc2C(=O)OCc2cn3cc(Cl)ccc3n2)n1,0.11
O=C(N[C@H](CO)c1ccco1)c1conc1-c1ccc(Cl)cc1,0.11
NC(=O)N[C@H](CC(=O)NCCc1cccc2ccccc12)c1cccs1,0.11
Cc1cc(F)ccc1NC(=O)CNc1ccccc1[N+](=O)[O-],0.1
CC(C)(C)OC(=O)N1CCC(CSc2cnc3cc([N+](=O)[O-])ccc3n2)CC1,0.1
O=C(Nc1nc2cc([N+](=O)[O-])ccc2s1)c1ccc(F)c(F)c1,0.1
O=[N+]([O-])c1ccc(-c2ccc(CO)cc2)cc1,0.1
O=[N+]([O-])c1ccc(NCC2(N3CCOCC3)CCCCC2)c(S(=O)(=O)N2CCOCC2)c1,0.1
N#Cc1nc(/C=C/c2cccc([N+](=O)[O-])c2)oc1N1CCN(C(=O)COc2ccccc2F)CC1,0.1
C=CC[NH+](Cc1cccc([N+](=O)[O-])c1)Cc1occc1C,0.1
CCc1ccc(-c2c(C(=O)NCCCOC)sc3c2cnc2ccc(F)cc23)cc1,0.1
O=C(CNC(=O)c1cccc([N+](=O)[O-])c1)NNc1cccc(F)c1F,0.1
CSCC[C@@H](C(=O)[O-])N1C(=O)/C(=C/c2ccc(-c3ccccc3Cl)o2)SC1=S,0.1
Cc1ccc(/C=C(/C#N)c2ccc(Br)cc2)cc1[N+](=O)[O-],0.1
Nc1c(NCc2ccccc2)ncnc1Nc1ccccc1F,0.1
CS(=O)(=O)C1=NN2C(=N)/C(=C\c3c[nH]c4ccccc34)C(=O)N=C2S1,0.09
Cc1ccc2ncc(C(=O)N3C[C@@H]4OCCN(C)[C@@H]4C3)n2c1,0.09
COc1ccc(CC(=O)Nc2cc(-c3cn4nc(OC)ccc4n3)ccc2OC)cc1,0.09
CCc1nn(C)cc1C(=O)Nc1ccccc1OCCn1cc[nH+]c1,0.09
O=[N+]([O-])c1cccc(C[NH2+][C@@H]2C[C@H]3CCCc4cccc2c43)c1,0.09
Cn1cnc(CNC(=O)NCCC[NH+](C)C2CCCCC2)n1,0.09
Cc1ccc(CSc2nc3ccc([N+](=O)[O-])cc3[nH]2)cc1,0.09
Cn1cnc(CNC(=O)Nc2ccc3[nH]nnc3c2)n1,0.09
O=[N+]([O-])c1cccc(OC/C=C/CS)c1,0.09
O=C(COc1ccc([N+](=O)[O-])cc1Cl)NC1CCCCCCC1,0.09
N#CC1=C(N)OC2=C(C(=O)C[C@@H](c3ccccc3)C2)[C@@H]1c1c[nH]nc1-c1ccc(F)cc1,0.09
CN(Cc1ccc(F)cc1)C(=O)c1cc([N+](=O)[O-])ccc1N1CCCC1,0.09
C[C@@H](NC(=O)c1cn(-c2cccc([N+](=O)[O-])c2)nn1)c1cccc(N2CCCC2=O)c1,0.09
O=C(C[C@@]1(O)C(=O)N(Cc2ccc(Cl)cc2)c2ccc(Cl)cc21)c1ccc([N+](=O)[O-])cc1,0.09
COc1ccc(C(=O)NCc2ccc(C[NH+]3CCC[C@H](C)C3)cc2)cc1[N+](=O)[O-],0.08
CCOc1ccc(S(=O)(=O)N/N=C\c2ccc([N+](=O)[O-])o2)cc1,0.08
CCCCN1C[C@H](C(=O)Nc2cc([N+](=O)[O-])ccc2C)CC1=O,0.08
COc1cc(F)c([N+](=O)[O-])c(SCCN2CCOCC2)c1,0.08
CCOC(=O)c1cs/c(=N\C(=O)[C@@H]2CC(=O)N(c3ccc(F)c(Cl)c3)C2)[nH]1,0.08
O=C(Nc1ccccc1C(F)(F)F)c1cccc(Oc2cnccn2)c1,0.08
C[C@@H]1Cc2ccccc2N1C(=O)NCCCOC[C@@H]1CCCO1,0.08
Cc1ccc2c(c1)[C@]1(C(=O)N2)[C@@H](C(=O)c2ccccn2)[C@@H](c2ccc([N+](=O)[O-])cc2)[C@H]2CSCN21,0.08
O=C(Cc1ccc(Cl)c(Cl)c1)NCCN1C(=O)S/C(=C\c2ccccc2F)C1=O,0.08
O=C1C[C@@H](c2ccc(F)cc2)c2sc(Nc3ccccc3)nc2N1,0.08
COc1cc(/C=C2/SC(=O)N(CC(=O)N3CCOCC3)C2=O)ccc1OC(C)C,0.08
O=C(Nc1ccc(-n2cncn2)c(F)c1)c1cc(F)cc(F)c1,0.08
C[C@H](Sc1ncc2ccccn12)C(=O)Nc1nc(-c2cccc([N+](=O)[O-])c2)cs1,0.08
N#Cc1c(Cn2cc(I)cn2)cn2ccccc12,0.08
CCc1cc(Nc2ccc(C(=O)[O-])cc2)nc(C(C)C)n1,0.08
CC[NH+](CC)Cc1cnc2c(C(=O)N[C@H](C)c3n[nH]c(=O)[nH]3)cnn2c1,0.08
C=CCNC(=O)c1cc2sc(Br)cc2n1Cc1ccccc1OC,0.08
Cc1ccc([N-]S(=O)(=O)c2cn[nH]c2C(C)(C)C)cc1[N+](=O)[O-],0.08
Cc1ccc(C(=O)C2=NN(c3ccccc3)[C@H]3C(=O)N(c4cccc([N+](=O)[O-])c4)C(=O)[C@H]23)cc1,0.08
O=C(NC1CC[NH+](CCc2ccc([N+](=O)[O-])cc2)CC1)c1ccsc1,0.08
C[C@@H](Oc1ccccc1C(F)(F)F)C(=O)/N=c1/[nH]nc(-c2ccoc2)[nH]1,0.08
O=[N+]([O-])c1ccc(-c2ncn(Cc3ccc(Br)cc3F)n2)cc1,0.08
O=C(NCc1ccccc1Cn1cccn1)c1ccc([N+](=O)[O-])cc1Cl,0.08
COc1cc(/C=C(/C#N)c2nc(-c3ccc(F)cc3)cs2)cc(Br)c1O,0.08
O=[N+]([O-])c1cnn(CCCc2nc(-c3ccc(C(F)(F)F)cc3)no2)c1,0.08
Cc1n[nH]c(-c2ccc(C(=O)NCCC(=O)Nc3ccncc3)cc2)n1,0.07
O=C(C[C@@H]1S/C(=N/N=C2\C(=O)Nc3ccccc32)NC1=O)Nc1ccc(Cl)cc1,0.07
Cc1ccc([C@@H]2CC(=O)c3cnc4nc(N5CCCCC5)[nH]c(=O)c4c3C2)cc1,0.07
Cc1nc(Br)ccc1NC(=O)C(=O)N(C)CC[C@H](C)O,0.07
CSc1ccccc1NC(=O)CN(C)C(=O)c1nc(-c2ccccc2)oc1C,0.07
O=C(COc1ccc([N+](=O)[O-])cc1)Nc1ccc(Cl)c(C(F)(F)F)c1,0.07
[NH3+][C@H]1c2ccccc2CCC[C@H]1[S@@](=O)c1cccc(F)c1,0.07
CNC(=O)COc1ccccc1C[NH+]1CC[C@@H](Oc2cccnc2)C1,0.07
COc1ccc2[nH]cc(C3=CCN(C(=O)[C@@H](C)NC(N)=O)CC3)c2c1,0.07
Cc1ccc([C@@H]([NH2+]CCn2cc([N+](=O)[O-])cn2)C2CC2)cc1,0.07
O=C1/C(=C\c2cn(-c3ccccc3)nc2-c2ccc(F)cc2)SC(=S)N1Cc1ccccc1,0.07
CCc1ccc(S(=O)(=O)Oc2ccc(C#N)cc2[N+](=O)[O-])s1,0.07
CC(C)n1c(=S)[nH]c(=O)c2c(C(F)(F)F)cc(-c3cnn(C)c3)nc21,0.07
CN(CC(=O)N[C@@H](CO)c1ccccc1F)c1ncnc2[nH]cnc12,0.07
O=c1[nH]nc(C[NH+]2CCC(n3c(=O)[nH]c4ccccc43)CC2)[nH]1,0.07
N#Cc1ccncc1N1CCC[C@@H](c2[nH]cc[nH+]2)C1,0.07
Cc1ccc(N2C[C@H](C(=O)Nc3ccc([N+](=O)[O-])cc3Cl)CC2=O)cc1C,0.07
C[C@@H](C#N)CNC(=O)C(=O)Nc1cc(F)ccc1Br,0.07
C[C@@H](NC(=O)COc1ccccc1C#N)c1nc2ccccc2[nH]1,0.07
C#CCOc1cccc(C[NH+]2CCC(c3nc(-c4cccnc4)cc(=O)[nH]3)CC2)c1,0.07
Fc1ccc(-c2nnc(CN3CCc4ccc(F)cc43)o2)cc1,0.07
COc1cccc(-n2c(/C=C\c3ccccc3[N+](=O)[O-])nc3ccccc3c2=O)c1,0.07
N#Cc1cccc(C(=O)N2CCN(c3ccc([N+](=O)[O-])cc3)CC2)c1,0.07
Cc1ccc([N+](=O)[O-])cc1NC(=O)[C@@H]1CS[C@@]2(C)CCC(=O)N12,0.07
O=C([C@H]1CC(c2ccccc2)=NO1)N1CCCSc2ccccc21,0.07
O=C(CCCN1C(=O)/C(=C/C=C/c2ccccc2)SC1=S)N[C@H]1C=CS(=O)(=O)C1,0.07
COc1cc(/C=C(\C#N)C(=O)Nc2c(C)cccc2C)cc([N+](=O)[O-])c1O,0.07
Cc1noc(CCN[C@H](C)c2cnn(-c3ccc(F)cc3)c2C)n1,0.07
COc1ccc(NC2=N[C@H]3[C@@H](O)[C@H](O)C[C@H](C(=O)N4CCC(C(N)=O)CC4)[C@H]3S2)cc1,0.07
CCO[C@@H]1C[C@@H](N(C)C(=O)Nc2nc(C(C)C)nn2C)C1(C)C,0.07
CC[C@H](C(=O)Nc1cccc(C)c1C)n1c(=O)cc(C)c2cccc(OC)c21,0.07
COc1cccc2c1OCC(C(=O)Nc1ccc(NC3CCOCC3)cc1)=C2,0.07
C[C@@H]1CC(=O)Nc2c1c(NC(=O)Cc1ccc([N+](=O)[O-])cc1)nn2C,0.07
Cc1cc(=O)[nH]c(-c2ccc(NCc3c(C)cc(C)[nH]c3=O)nc2)n1,0.07
O=C(Nc1nc2ccc([N+](=O)[O-])cc2s1)c1ccccc1F,0.07
Cc1n[nH]c2cc(NC(=O)[C@@H]3CCS(=O)(=O)C3)ccc12,0.07
C[C@H]1CCc2c(sc(NC(=O)Cc3ccon3)c2C#N)C1,0.06
O=C(c1ccc(C(F)(F)F)cc1)N1CCN(c2ccc(Cl)cc2[N+](=O)[O-])CC1,0.06
Cc1ccc(-c2ncco2)cc1NC(=O)Cc1cccc(F)c1,0.06
C/C(=C\c1ccc(OC(F)(F)F)cc1)C[NH2+]CC(C)C,0.06
CC[C@H](C)c1ccccc1NC(=O)[C@@H](C)Nc1ccc(Cl)c(C(N)=O)c1,0.06
O=[N+]([O-])c1cccc2c1N[C@H](c1cccc(Cl)c1)[C@@H]1CC=C[C@@H]21,0.06
Cn1ccc2cc(C(=O)Nc3cccnc3Oc3ccc4c(c3)OCO4)ccc21,0.06
CC(C)[C@@H]1C[C@H](C(F)(F)F)n2nc([C@H]3CC[NH+](CC(N)=O)C3)cc2N1,0.06
N#Cc1cccnc1N1CCC2(CC1)c1nc[nH]c1CCN2C(=O)C1CCC1,0.06
COc1ccc(OC)c(C2=NO[C@H](C(=O)Nc3ccc(C#N)cc3)C2)c1,0.06
O=S(=O)([O-])c1ccc(N/N=C/c2csc3ccccc23)cc1,0.06
C[C@H](S[C@@H]1NN=C(CCC(N)=O)N1C)C1=NC(=O)C2=C(c3cccs3)CSC2=N1,0.06
C[C@@H](OCC(F)(F)F)C(=O)N[C@H](C)c1ccc(-c2ccncc2)cc1,0.06
O=c1ccoc2c(Cl)cc(Cl)cc12,0.06
Cc1nc(N2CCC3(CC2)c2nc[nH]c2CCN3C(=O)C2CC2)c(C)c(C)[nH+]1,0.06
Cc1cc(-c2cc(F)cc3c2O[C@H](CNC(=O)c2ccco2)C3)ccc1F,0.06
CN1CC[NH+](CC(=O)N(C)c2ccc([N+](=O)[O-])cc2)Cc2ccccc21,0.06
Cc1cc(N2CCC([NH+]3CCC[C@@H](C(=O)NC4CC4)C3)CC2)c2ccccc2[nH+]1,0.06
CCOC(=O)c1c(NC(=O)c2ncccc2C(=O)[O-])sc2c1CC[C@H](C)C2,0.06
C[NH+]1CCN(c2ccc([N+](=O)[O-])c(NCCCO)c2)CC1,0.06
O=C1NC(=S)S/C1=C/NC1[NH+]=c2ccccc2=[NH+]1,0.06
Cc1cc(CC(=O)Nc2ccccc2-c2nc3ccccc3[nH]2)no1,0.06
CC(C)Cn1c(C[NH+](C)Cc2sc3ccccc3c2Cl)cnc1S(C)(=O)=O,0.06
C[NH+](C)CCCN(C(=O)c1ccc(C(F)(F)F)cc1)c1nc2c(F)cccc2s1,0.06
CCc1nc2c(N3CC[C@@]4(CCCN(CC5CCC5)C4=O)C3)ncnc2o1,0.06
O=C([O-])COc1ccc(C(=O)/C=C/c2ccc(Cl)c([N+](=O)[O-])c2)cc1,0.06
COc1ccc(-c2nc(C)sc2C(=O)Nc2cccc3[nH]ccc23)cc1,0.06
O=C(Nc1ccc2c(c1)COC2)c1cc2cc(F)ccc2o1,0.06
O=C(CCn1cc([N+](=O)[O-])cn1)N[C@@H]1CCCC[C@H]1OC1CCCC1,0.06
C[C@H](NC(=O)N1CC=C(c2ccc(Cl)cc2)CC1)c1cnn(C)c1,0.06
N#C/C(=C\Nc1ccc2oc(=O)ccc2c1)c1nc(-c2ccc(Br)cc2)cs1,0.06
O=C1CC[C@@H]2CN(c3cc[nH+]c4cc(F)ccc34)CC[C@@H]2N1C1CC1,0.06
COc1ccc([N+](=O)[O-])c(C(=O)Nc2ccc(Oc3ccccc3C#N)cc2)c1,0.06
C/C(=N\NC(=O)Cc1c(F)cccc1Cl)c1ccc(NC(=O)c2ccc(Br)o2)cc1,0.06
C[C@H]1CN(c2ncnc3c2cnn3CCNC(=O)CC2CCCC2)C[C@H](C)O1,0.06
Cc1ccc(-n2nnc(C(=O)Nc3sc4c(c3C#N)CCCC4)c2C)cc1,0.06
O=C1C(=O)N(C/C(Cl)=C/Cl)c2ccc(F)cc21,0.06
Cc1nnc(/N=C2/S/C(=C/c3cccn3C)C(=O)N2c2ccccc2)s1,0.06
CC[NH+]1CCN(c2ncc3c(n2)CN(c2ccccc2)C3=O)CC1,0.06
CCOC(=O)/C(C#N)=C/Nc1sc(C)c(-c2ccccc2)c1C(N)=O,0.06
Cc1cccc(N2C(=O)c3oc4ccc(F)cc4c(=O)c3[C@H]2c2cccnc2)n1,0.06
C#CCOc1cccc(COC(=O)[C@H]2C[C@@H]2[N+](=O)[O-])c1,0.06
Cn1ccc(N[C@H]2CCCC[C@H]2O)n1,0.06
Cn1cc(C[C@@H]2CC[NH+](Cc3ccc(N4CCCC4)nc3)C2)cn1,0.06
N#Cc1ccsc1NC(=O)CN1CCc2c(F)ccc(F)c2C1,0.06
COc1ccccc1C(=O)Nc1sc2c(c1C(=O)[O-])CCCC2,0.06
Cc1ccnc(NC[C@@H](c2cccs2)N2CCOCC2)n1,0.06
O=C(c1n[nH]c2c1CCc1ccccc1-2)N1CCC(CCN2CCOCC2)CC1,0.06
N/C(CSc1ccccn1)=N\Nc1ncc(C(F)(F)F)cc1Cl,0.06
CCc1ccc([C@H](CO)NC(=O)c2cnn(C(C)(C)C)c2)cc1,0.06
COC(=O)C1=C(C)N=C(C)/C(=C(\[O-])OC)[C@@H]1C(=O)OCC(=O)N1c2ccccc2C[C@@H]1C,0.06
O=c1ccc(-c2ccc(F)c(C(F)(F)F)c2)c[nH]1,0.05
O=C(Cn1nc(C(=O)[O-])c2ccccc2c1=O)c1ccc2c(c1)-c1ccccc1C2,0.05
CC(C)([C@H](N)c1cncc2ccccc12)[NH+]1CCCC1,0.05
C[C@H]1CN2C[C@H](O)C[C@@H]2C[NH+]1Cc1ccc(-c2ccccc2Cl)o1,0.05
Cc1sc(NC(=O)[C@H](C)n2c(=O)oc3ccccc32)nc1-c1ccc(Br)cc1,0.05
C[NH2+][C@H](C)[C@@H](c1nc(-c2cscc2C)no1)C(C)C,0.05
CCOc1ncnc(Nc2ccc3c(c2)OCO3)c1[N+](=O)[O-],0.05
COc1cccc(CC(=O)Nc2ccc(C)c(S(=O)(=O)Nc3ccccc3F)c2)c1,0.05
CCNc1ncc(C(=O)N2CCCC[C@@H]2c2ccc(F)cc2)cn1,0.05
O=[N+]([O-])c1cc(Cl)ccc1OC1CC[NH2+]CC1,0.05
COCCNc1ncnc(N2CCc3ccccc3C2)c1[N+](=O)[O-],0.05
[O-]/C(=C\Sc1nc2ncccc2n2cccc12)NCc1cccc(F)c1,0.05
CC(C)(C)c1ccc(-c2csc(NC(=O)CN3CCN(c4ncccn4)CC3)n2)cc1,0.05
O=C(NCc1cccnc1-n1cncn1)C1=Cc2cc(Cl)ccc2OC1,0.05
COc1ccc(Br)cc1/C=C/C(=O)O[C@H](C)[C@@H]1CCOC1,0.05
CCc1nn(C)cc1CNC(=O)CCc1nc(-c2ccc(F)c(C)c2)no1,0.05
COC1(NC(=O)c2ccc([N+](=O)[O-])cc2)C(C)=CC(=O)C=C1C,0.05
C[NH2+][C@@H](Cc1cccc(F)c1F)c1cncc(Br)c1,0.05
Cc1ccc(O[C@@H](C)CNc2ncnc3nc(N)ccc23)cc1,0.05
NC(=O)[C@H]1CN(C(=O)Nc2cc(-c3ccccc3)on2)CCO1,0.05
CCC[C@@H]1[C@H](C)CCC[NH+]1CC(=O)Nc1cccnc1Cl,0.05
O=C(Cc1cccs1)N1CC[NH+](Cc2nnnn2-c2ccc(Cl)cc2)CC1,0.05
C[C@H]1CCC[C@@H](C(=O)Nc2cn(C)nc2-c2ccccc2)C1,0.05
Cc1ccc(C(=O)Nc2cn[nH]c2)c(C)c1,0.05
COC(=O)C[C@H](C)Sc1ncnc2cc(F)c(F)cc12,0.05
CN(Cc1nc2ccccc2n1C)C(=O)c1cnc(-c2ccccc2)[nH]c1=O,0.05
Nc1cccc(OCCSC[C@@H](O)CO)c1,0.05
Nc1ccc(SCc2cc(F)ccc2[N+](=O)[O-])cc1Cl,0.05
O=C([O-])COc1ccccc1/C=N/NC(=O)c1cc(-c2ccc(F)cc2)nc2ccccc12,0.05
O=C(Nc1ccc(Oc2cccnc2)nc1)N[C@@H]1[C@@H]2CC[C@@H](C2)[C@@H]1CO,0.05
CSc1nc(C)c(CCC(=O)[C@@H](C#N)c2ccc(F)cn2)c(=O)[nH]1,0.05
COCCn1c(C)cc(/C=C(/C#N)C(=O)N(C)[C@H]2CCCC[C@H]2C)c1C,0.05
Cc1cc(C)c(C(=O)COc2cccc([N+](=O)[O-])c2C)cc1C,0.05
O=C(NCC1([O-])CCC1)C1CCN(c2ccccc2[N+](=O)[O-])CC1,0.05
O=C(Cc1cccc(N(Cc2ccccc2)C(=O)c2ccc(F)cc2F)c1)N1CCOCC1,0.05
Cc1cc2oc(=O)cc(CN3CCN(S(=O)(=O)c4ccccc4[N+](=O)[O-])CC3)c2cc1C,0.05
C[C@H](NC(=O)Nc1ccc2c(c1)C(=O)NC2=O)c1ccncc1,0.05
CC(C)[C@@H](CO)NC(=O)Nc1cccc(C[S@@](=O)c2ccccc2)c1,0.05
O=C(Nc1ccccc1O)c1cc(-c2ccncc2)nc2ccccc12,0.05
CCc1ocnc1-c1nc(C)nn1-c1cccc2cccnc12,0.05
Cc1c(C[S@@](C)=O)cccc1NCc1ccccc1[N+](=O)[O-],0.05
Cc1cccc(N(Cc2cc3cccc(C)c3[nH]c2=O)C(=O)c2ccncc2)c1C,0.05
COC(=O)[C@@H]1CN(C(=O)Nc2cncc3ccccc23)C[C@H]1C,0.05
COc1ccc(Br)cc1NC1=[NH+]CCC1,0.05
O=C(Nc1ccc(N2CCOCC2)cn1)C1CCN(c2ncccn2)CC1,0.05
Cc1cccc(NC2CC[NH+](Cc3ncn(-c4ccccc4)n3)CC2)c1,0.05
CCc1[nH]nc(-c2ccc(Cl)cc2)c1NC(=O)c1ccccc1F,0.05
CC(=O)C[C@H]1CCCN1C(=O)c1ccc(Cl)cc1[N+](=O)[O-],0.05
C[C@@H](Sc1nc(-c2ccc(Cl)cc2)cc(C(F)(F)F)n1)C(N)=O,0.05
Cc1noc(-c2cccnc2NC[C@H](C)N2CCOC[C@@H]2C)n1,0.05
CS(=O)(=O)c1ccc(C(=O)Nc2ccccc2SCC(F)(F)F)cc1,0.05
Cc1ccc(-c2ccc(=O)n([C@@H](C)C(=O)Nc3c(C)cccc3[N+](=O)[O-])n2)cc1,0.05
CC(=O)c1c[nH]c(C(=O)NCC[C@H](C)c2cccc(C(F)(F)F)c2)c1,0.05
CC[C@H](C)SCc1noc(CC2C[C@H]3CC[C@@H](C2)[NH2+]3)n1,0.05
CCC[NH2+][C@H](c1cccc(Cl)c1F)[C@H](C)CC,0.05
Cc1c(NC(=O)c2cccnc2N2CCCC2)cccc1[N+](=O)[O-],0.05
CS[C@H](CO)[C@@H](C)NC(=O)NCc1cc(=O)[nH]c2ccccc12,0.05
O=C(CCc1cc2ccccc2[nH]1)N/N=C\c1ccncc1,0.05
CCc1ccc(C(=O)Nc2cc(C(=O)N(C)C)ccc2F)cc1[N+](=O)[O-],0.05
O=C(Cc1cscn1)N1CC[C@@H]2[C@@H](N=C3C=CC=C[C@H]32)[C@@H]1c1ccccc1F,0.05
C[C@H](c1ccccn1)N(C)C(=O)C1=CC=CN2CCS(=O)(=O)N=C12,0.05
COc1ccc(NC(=S)Nc2cc(C)ccn2)cc1,0.05
O=C(Cc1ccc(-n2cccn2)cc1)Nc1cccc(CN2CCOC2=O)c1,0.05
CC1(C)CC(=O)C2=C(C1)c1c(ccc3ccccc13)N[C@H]2c1ccc[nH]1,0.05
COc1cc(OCC(=O)[C@H](C#N)c2ccc(F)cn2)ccc1[N+](=O)[O-],0.05
COc1ccc(/C=C2\C(=O)N(c3ccc(Cl)cc3Cl)C(=S)N=C2[O-])cc1OC,0.05
Cc1cc(C(=O)OCC(=O)c2ccc(Cl)c([N+](=O)[O-])c2)c2ccccc2n1,0.05
CC[NH+](CC)CCn1cc(N[C@@H]2CC[C@@H]([NH3+])C2)cn1,0.05
COc1ccc(Nc2cc(C)ccc2N)cc1C,0.05
Cc1ncc([C@@H](C)[NH2+]C[C@@H]2CN3CCCC[C@@H]3CO2)s1,0.05
C[C@H]([NH2+][C@@H]1CCc2c(F)ccc(Br)c21)[C@H]1CCCO1,0.04
Cc1cc(F)ccc1NC(=O)Cn1cc(Br)c(=O)[nH]c1=O,0.04
CCOc1ccccc1N1C[C@H](C(=O)N(C2CC2)[C@@H](C)c2ccco2)CC1=O,0.04
CCO[C@@H]1CCC[NH+]([C@@H](C)C(=O)Nc2ccccc2-c2ccccc2)C1,0.04
COc1cc(-c2c3oc4c(O)c(O)ccc4c3nc3c2c(=O)[nH]n3C(C)C)cc(OC)c1OC,0.04
CC(=O)NC(=O)NC(=O)/C(C#N)=C/Nc1ccc(O)cc1,0.04
O=C(NC(=S)Nc1cccc(NC(=O)c2ccccc2Cl)c1)c1ccccc1F,0.04
CCc1ccc(NC(=O)N[C@H]2C[C@H]3C(=O)N[C@H]([C@H](C)O)C(=O)N3C2)cc1,0.04
O=C(Cn1cncn1)N/N=C\c1cccc(Br)c1,0.04
COc1ccccc1Cn1ncc2[nH]c(-c3cc4c(cc3OC)OCO4)nc21,0.04
CC(=O)[C@H](C)SCCc1ccc([N+](=O)[O-])cc1,0.04
COc1ccccc1C(=O)NNC(=O)CNc1nc2ccccc2s1,0.04
COc1cc(CN2CCOC[C@@H]2CC(C)C)c([N+](=O)[O-])cc1OC,0.04
Cc1oc(C(=O)OCc2ccnc(Cl)c2)cc1S(=O)(=O)N(C)C,0.04
COc1cccc([C@H](CO)NC(=O)c2ccccc2O)c1,0.04
O=C(CCCc1nc2ccccc2c(=O)[nH]1)Nc1ccc2c(c1)OC1(CCCC1)O2,0.04
Cc1ccc(C[NH+](C)[C@@H](C)c2nnc(-c3cccs3)o2)cc1,0.04
O=C(c1ccccc1C(F)(F)F)N1CCN(C(=O)[C@@H]2C[C@@H]2c2cccs2)CC1,0.04
C[C@@H](C(=O)N1CCN(Cc2ccccc2)CC1)[NH+](C)CC(=O)Nc1cccc(F)c1,0.04
C[C@H](NCC(=O)NCc1ccccc1[N+](=O)[O-])c1ccc(Cl)cc1,0.04
C=C1c2ccccc2C(=O)N1CC(=O)Nc1ccc(-c2cc[nH]n2)cc1,0.04
